Region,Pop,Latitude,Longitude,LTRS,WNT,EN,EF,ZMP,AML,ATPS,MP20
SBP,156,24.0438,-109.989,2:2,2:2,2:2,1:1,2:2,5:5,3:3,17:18
SBP,157,24.0195,-110.096,2:2,2:2,2:2,1:1,2:2,5:5,3:3,17:18
SBP,157,24.0195,-110.096,2:2,2:2,1:2,1:1,2:2,4:4,3:3,17:18
SBP,157,24.0195,-110.096,2:2,1:3,1:1,1:1,2:2,6:6,5:5,11:11
SBP,157,24.0195,-110.096,2:2,2:2,1:2,1:1,2:2,4:4,3:6,17:17
SBP,157,24.0195,-110.096,2:2,2:2,1:2,1:1,2:2,4:4,3:6,18:18
SBP,157,24.0195,-110.096,2:2,3:3,1:1,1:1,2:2,6:6,5:7,11:11
SBP,157,24.0195,-110.096,2:2,2:2,1:2,1:1,2:2,4:4,3:3,18:18
SBP,157,24.0195,-110.096,2:2,2:2,1:2,1:1,2:2,4:4,3:3,18:18
SBP,157,24.0195,-110.096,2:2,2:2,2:2,1:1,2:2,4:4,3:3,17:18
SBP,157,24.0195,-110.096,2:2,2:2,2:2,1:1,2:2,4:4,3:3,17:17
SBP,73,24.00789,-109.85071,2:2,3:3,1:1,1:1,2:2,6:7,5:5,11:11
SBP,73,24.00789,-109.85071,2:2,2:2,1:2,1:1,2:2,4:4,3:3,18:18
SBP,73,24.00789,-109.85071,2:2,2:2,1:2,1:1,2:2,5:5,3:3,18:19
SBP,73,24.00789,-109.85071,2:2,2:2,1:2,1:1,2:2,5:5,3:3,17:17
SBP,73,24.00789,-109.85071,2:2,2:2,1:2,1:1,,5:5,3:3,18:18
SBP,73,24.00789,-109.85071,2:2,3:3,1:1,1:1,2:2,6:7,5:5,10:11
SBP,73,24.00789,-109.85071,2:2,2:2,1:2,1:1,2:2,4:4,3:3,18:18
SBP,73,24.00789,-109.85071,2:2,2:2,1:2,1:1,2:2,4:4,3:3,18:18
SBP,73,24.00789,-109.85071,2:2,2:2,1:2,1:1,2:2,5:5,3:3,18:18
SBP,73,24.00789,-109.85071,2:2,2:2,1:2,1:1,2:2,5:5,3:3,18:18
SBP,Aqu,23.2855,-110.10429,1:2,2:2,1:2,1:1,2:2,5:5,3:3,18:18
SBP,Aqu,23.2855,-110.10429,2:2,3:3,1:1,1:1,2:2,6:6,5:5,11:11
SBP,Aqu,23.2855,-110.10429,2:2,3:3,1:1,1:1,2:2,6:6,5:5,10:10
SBP,Aqu,23.2855,-110.10429,1:2,2:2,1:1,1:1,2:2,4:4,3:3,18:19
SBP,Aqu,23.2855,-110.10429,2:2,2:2,2:2,1:1,2:2,4:4,3:3,18:18
SBP,Aqu,23.2855,-110.10429,1:2,,,1:2,,,2:2,
SBP,Aqu,23.2855,-110.10429,2:2,2:2,2:2,1:1,2:2,4:4,3:3,18:18
SBP,Aqu,23.2855,-110.10429,2:2,3:3,1:1,1:1,2:2,5:6,5:5,11:11
SBP,Mat,23.08984,-110.1091,2:2,1:1,2:2,1:1,2:2,4:4,3:3,18:18
SBP,Mat,23.08984,-110.1091,2:2,1:2,2:2,1:1,2:2,4:4,3:3,18:18
SBP,Mat,23.08984,-110.1091,2:2,1:1,2:2,1:1,2:2,5:5,3:3,17:18
SBP,Mat,23.08984,-110.1091,2:2,1:1,2:2,1:1,2:2,5:5,3:3,18:18
SBP,Mat,23.08984,-110.1091,1:2,,,1:2,,,5:5,
SBP,98,23.0757,-109.64869,2:2,3:3,1:1,1:1,2:2,6:6,5:5,10:11
SBP,98,23.0757,-109.64869,2:2,1:1,2:2,1:1,2:2,5:5,3:3,18:18
SBP,98,23.0757,-109.64869,2:2,1:1,2:2,1:1,2:2,5:5,3:3,18:18
SBP,98,23.0757,-109.64869,2:2,1:1,2:2,1:1,2:2,5:5,3:3,18:18
SON,101,27.90509,-110.57436,1:2,,1:1,,,,2:2,
SON,101,27.90509,-110.57436,2:2,1:1,1:1,1:1,,,2:2,13:13
SON,101,27.90509,-110.57436,1:2,,1:1,1:2,,,9:9,
SON,101,27.90509,-110.57436,2:2,1:1,3:3,1:2,1:1,11:11,2:2,13:14
SON,101,27.90509,-110.57436,1:2,1:1,1:1,1:2,,8:8,4:4,12:12
SON,101,27.90509,-110.57436,1:2,1:1,3:3,1:2,,,2:2,12:12
SON,101,27.90509,-110.57436,2:2,1:1,1:1,1:2,,,2:5,2:13
SON,101,27.90509,-110.57436,2:2,1:1,3:3,1:1,,,2:2,2:12
SON,101,27.90509,-110.57436,1:2,,1:1,,,,2:9,
SON,101,27.90509,-110.57436,2:2,1:1,1:3,1:1,,,2:9,11:12
SON,32,26.63783,-109.327,1:2,1:3,1:1,1:2,2:2,,2:2,12:13
SON,32,26.63783,-109.327,2:2,1:1,3:3,1:1,2:2,11:11,2:4,13:13
SON,32,26.63783,-109.327,2:2,1:1,3:4,1:1,2:2,11:11,2:2,3:12
SON,32,26.63783,-109.327,1:2,1:1,3:3,1:1,2:2,11:11,2:2,3:13
SON,32,26.63783,-109.327,2:2,1:1,3:3,1:1,2:2,11:11,2:2,12:12
SON,32,26.63783,-109.327,2:2,1:1,3:3,1:1,2:2,11:11,2:2,12:13
SON,32,26.63783,-109.327,1:2,1:1,3:3,1:1,2:2,11:11,2:2,2:14
SON,32,26.63783,-109.327,2:2,1:1,3:3,1:1,2:2,12:12,2:3,12:12
SON,32,26.63783,-109.327,2:2,1:1,3:3,1:1,2:2,12:12,2:2,13:13
SON,32,26.63783,-109.327,2:2,1:1,3:3,1:1,2:2,11:11,2:2,2:10
SON,32,26.63783,-109.327,1:1,1:1,3:4,1:1,2:2,12:12,2:2,11:13
SON,32,26.63783,-109.327,1:2,1:1,3:4,1:1,2:2,8:12,2:4,1:12
SON,32,26.63783,-109.327,1:2,1:1,4:4,1:1,2:2,11:11,2:2,3:13
SON,32,26.63783,-109.327,2:2,1:1,3:4,1:1,2:2,10:11,2:2,11:11
SON,32,26.63783,-109.327,1:2,1:1,3:3,1:1,2:2,12:12,2:2,10:13
SON,32,26.63783,-109.327,2:2,1:1,3:3,1:1,2:2,12:12,2:2,2:10
SON,32,26.63783,-109.327,1:2,1:1,3:4,1:1,2:2,8:11,2:2,2:14
SON,32,26.63783,-109.327,2:2,1:1,3:3,1:1,2:2,11:11,2:2,3:13
SON,32,26.63783,-109.327,2:2,1:1,3:4,1:1,2:2,11:11,2:2,11:12
SON,102,26.38014,-109.12633,2:2,,1:3,1:2,,,2:9,9:9
SON,102,26.38014,-109.12633,1:2,,1:3,1:2,,,2:9,3:12
SON,102,26.38014,-109.12633,1:2,1:1,3:3,1:2,,,2:2,3:12
SON,102,26.38014,-109.12633,1:2,,,1:2,,,2:2,2:5
SON,102,26.38014,-109.12633,1:2,1:1,3:3,1:1,,,2:2,11:12
SON,102,26.38014,-109.12633,1:2,,3:3,1:2,,11:11,2:2,11:13
SON,102,26.38014,-109.12633,2:2,1:1,1:1,1:1,,,2:2,12:12
SON,102,26.38014,-109.12633,1:2,1:1,3:3,1:2,,,2:2,12:12
SON,102,26.38014,-109.12633,2:2,1:1,3:3,1:2,,,2:2,3:13
